ADAL,0.011068,0.0059028
ADAR,0.014206,0.0022044
ADEL,0.016233,0.0056569
ADER,0.014941,0.0093077
ADFL,0.082393,-0.0009838
ADFR,0.083279,-0.0031842
ADLL,0.082639,-0.013035
ADLR,0.083279,-0.011512
AFDL,0.086329,-0.0027055
AFDR,0.086463,-0.00097975
AIAL,0.065177,0.0093461
AIAR,0.05903,0.011512
AIBR,0.075441,0.0061235
AIML,0.033203,0.017954
AIMR,0.037476,0.015186
AINL,0.06198,-0.0061488
AINR,0.061969,-0.0034291
AIYR,0.039435,0.015186
AIZL,0.048698,0.0027055
AIZR,0.05756,0.0031842
ALA,0.094056,-0.013227
ALML,-0.37849,-0.016788
ALMR,-0.38154,-0.0061046
ALNL,-0.98005,-0.049441
ALNR,-0.98625,-0.049441
AQR,0.019595,0.004164
AS1,-0.016411,0.024739
AS10,-0.83481,0.033575
AS11,-0.84406,0.023306
AS2,-0.10988,0.03968
AS3,-0.1984,0.03968
AS4,-0.28386,0.03968
AS5,-0.40138,0.042732
AS6,-0.47616,0.042732
AS7,-0.57536,0.042732
AS8,-0.6654,0.03968
AS9,-0.7585,0.035102
ASEL,0.069112,0.0004919
ASER,0.071767,-0.00073481
ASGL,0.077966,-0.0076245
ASGR,0.080095,-0.010287
ASHL,0.075507,0.0004919
ASHR,0.07838,-0.00097975
ASIL,0.076982,-0.012789
ASIR,0.077156,-0.011757
ASJL,0.063455,0.0066407
ASJR,0.062704,0.0090627
ASKL,0.088542,-0.010084
ASKR,0.088668,-0.0095526
AUAL,0.06862,0.0061488
AUAR,0.067113,0.0053886
AVAL,0.089526,0.0017217
AVAR,0.090872,-0.00024494
AVBL,0.069112,-0.0044271
AVBR,0.071767,-0.0063684
AVDL,0.061734,-0.0014757
AVDR,0.066378,-0.0014696
AVEL,0.082885,0.0022136
AVER,0.084014,0.0031842
AVFL,0.018615,0.022779
AVFR,0.024494,0.022534
AVG,0.0019595,0.024494
AVHL,0.072063,-0.0086083
AVHR,0.076421,-0.012737
AVJL,0.067636,-0.0093461
AVJR,0.072992,-0.0097975
AVKL,0.026809,0.017708
AVKR,0.031842,0.015921
AVL,0.06099,0.0090627
AVM,-0.34796,0.022892
AWAL,0.077966,-0.0029514
AWAR,0.07838,-0.0053886
AWBL,0.079196,-0.0039352
AWBR,0.082789,-0.0068583
AWCL,0.078458,0.004919
AWCR,0.078625,0.004164
BAGL,0.11289,0.0004919
BAGR,0.11463,0.0031842
BDUL,-0.13278,-0.0015262
BDUR,-0.1343,0.0045785
CEPDL,0.094199,-0.016233
CEPDR,0.096016,-0.012492
CEPVL,0.10748,0.011314
CEPVR,0.10508,0.014941
DA1,-0.023024,0.024249
DA2,-0.1282,0.038154
DA3,-0.2335,0.041206
DA4,-0.37391,0.041206
DA5,-0.52652,0.03968
DA6,-0.69898,0.038154
DA7,-0.84091,0.032049
DA8,-0.90399,0.003879
DA9,-0.90771,0.002639
DB1,-0.012247,0.025229
DB2,0.011757,0.024249
DB3,-0.12057,0.038154
DB4,-0.27318,0.03968
DB5,-0.46853,0.041206
DB6,-0.65777,0.038154
DB7,-0.82718,0.032049
DD1,-0.008083,0.024739
DD2,-0.18924,0.038154
DD3,-0.37849,0.041206
DD4,-0.58299,0.041206
DD5,-0.76766,0.036628
DD6,-0.89531,0.005119
DVA,-0.9445,-0.037868
DVB,-0.93995,-0.035801
DVC,-0.95153,-0.037868
FLPL,0.023365,0.0091002
